"","ADDRESSBLOCKHOUSENUMBER","LATITUDE","EST_ORIGINAL_COMPLETION_DATE","STATUS","APPROXIMATE_GFA","LONGITUDE","INFO_ON_CO_LOCATORS","AWARDED_DATE","LANDYADDRESSPOINT","PHOTOURL","DESCRIPTION","NAME","ADDRESSTYPE","ADDRESSBUILDINGNAME","HUP_COMPLETION_DATE","LANDXADDRESSPOINT","ADDRESSSTREETNAME","ADDRESSPOSTALCODE","IMPLEMENTATION_DATE","ADDRESS_MYENV","INC_CRC","FMEL_UPD_D"
"1","85",1.33198706861747,"30/6/1977","Existing","",103.938732580554,"","","34910.13","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853253145.jpg","HUP Standard Upgrading","85 Fengshan Centre","I","","20/12/2012","39731.49","Bedok North Street 4","460085","","Blk 85, Bedok North Street 4, Singapore 460085","CFC780A1B5DC7721","20210330151704"
"2","85",1.28733076703987,"4/4/1972","Existing","",103.818338919994,"","","29972.02","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153717849.jpg","HUP Reconfiguration","Redhill Food Centre","I","","17/6/2005","26332.89","Redhill Lane","150085","","Blk 85, Redhill Lane, Singapore 150085","1D515CA502CE0A60","20210330151704"
"3","590",1.37238494002145,"1974","Existing","884.38",103.828994204342,"","","39376.87","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155861677.jpg","HUP Standard Upgrading","Jalan Leban Food Centre","I","","26/2/2003","27518.75","Upper Thomson Road","574419","","590, Upper Thomson Road, Singapore 574419","6CC207917DD43B91","20210330151704"
"4","49A",1.3631571201113,"1957","Existing","2448.2",103.866737484646,"","","38356.53","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156095817.jpg","HUP Rebuilding","Serangoon Garden Market","I","","26/9/2002","31719.13","Serangoon Garden Way","555945","","49A, Serangoon Garden Way, Singapore 555945","F3EA4B58784B2F78","20210330151704"
"5","320",1.35200744198417,"25/5/2000","Existing","",103.837031803823,"","","37123.63","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901832200.jpg","Not eligible for HUP","Shunfu Mart","I","","","28413.24","Shunfu Road","570320","","Blk 320, Shunfu Road, Singapore 570320","93EF4005DC826C1A","20210330151704"
"6","49",1.31708335109103,"20/9/1976","Existing","",103.879417030673,"","","33261.95","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153128123.jpg","HUP Reconfiguration","Sims Vista Market and Food Centre","I","","15/11/2006","33130.31","Sims Place","380049","","Blk 49, Sims Place, Singapore 380049","87604B5AB1B25468","20210330151704"
"7","335",1.28223514826381,"31/5/1983","Existing","",103.843177616296,"","","29408.57","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168178798.jpg","HUP Reconfiguration","Chinatown Complex Market","I","","30/4/2008","29097.23","Smith Street","50335","","Blk 335, Smith Street, Singapore 050335","B4A7F7D00E4690FF","20210330151704"
"8","3",1.33458935951076,"23/3/2005","Existing","7770.3",103.721519868629,"","","35197.91","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156147897.jpg","HUP Rebuilding","Taman Jurong Market and Food Centre","I","","23/3/2005","15557.970000000001","Yung Sheng Road","618499","","3, Yung Sheng Road, Singapore 618499","45EB3EEB56AAB21F","20210330151704"
"9","137",1.3456395210229,"30/11/1982","Existing","",103.944624481151,"","","36419.78","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154543785.jpg","HUP Reconfiguration","Tampines Round Market and Food Centre","I","","8/1/2006","40387.13","Tampines Street 11","521137","","Blk 137, Tampines Street 11, Singapore 521137","F6017D5F1F34E420","20210330151704"
"10","48A",1.30078931480841,"1964","Existing","2030.92",103.797625756738,"","","31460.22","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156211794.jpg","HUP Standard Upgrading","Tanglin Halt Market","I","","1/10/2003","24027.71","Tanglin Halt Road","148813","","48A, Tanglin Halt Road, Singapore 148813","74052054BAD38DD9","20210330151704"
"11","6",1.27661461066321,"18/4/1977","Existing","",103.843166992138,"","","28787.08","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-6-tanjong-pagar-plaza.jpg","HUP Standard Upgrading","Blk 6 Tanjong Pagar Plaza Market and Food Centre","I","","27/12/2013","29096.05","Tanjong Pagar Plaza","81006","","Blk 6, Tanjong Pagar Plaza, Singapore 081006","90C2DF39720A2465","20210330151704"
"12","37A",1.32084835041654,"1/11/1976","Existing","",103.742891623681,"","","33678.4","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153022672.jpg","HUP Rebuilding","Teban Gardens Market and Food Centre","I","","3/1/2008","17936.37","Teban Gardens Road","601037","","Blk 37A, Teban Garden Road, Singapore 601037","D50987C71DBF2D4C","20210330151704"
"13","11",1.27736683810318,"19/10/1974","Existing","",103.818641695106,"","","28870.260000000002","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876741836.gif","HUP Standard Upgrading","11 Telok Blangah Crescent Market and Food Centre","I","","15/1/2010","26366.58","Telok Blangah Crescent","90011","","Blk 11, Telok Blangah Crescent, Singapore 090011","917DDC2AA52EDFBD","20210330151704"
"14","79",1.27336828250285,"30/5/1977","Existing","",103.807626838954,"","","28428.13","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153497855.jpg","HUP Standard Upgrading","Telok Blangah Food Centre","I","","20/8/2005","25140.71","Telok Blangah Drive","100079","","Blk 79, Telok Blangah Drive, Singapore 100079","47E27FD755A278B1","20210330151704"
"15","82",1.27391379857001,"30/5/1977","Existing","",103.807943567416,"","","28488.45","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153608307.jpg","HUP Standard Upgrading","Telok Blangah Market","I","","29/11/2011","25175.96","Telok Blangah Drive","100082","","Blk 82, Telok Blangah Drive, Singapore 100082","1EB09A2246D74491","20210330151704"
"16","36",1.27271579716508,"29/10/1975","Existing","",103.82211725658,"","","28355.97","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267858653663.jpg","HUP Standard Upgrading","Telok Blangah Rise Market","I","","20/10/2010","26753.38","Telok Blangah Rise","90036","","Blk 36, Telok Blangah Rise, Singapore 090036","336A650EB617CFD9","20210330151704"
"17","30",1.28508825756819,"","Existing","10630.72",103.832348785334,"","","29724.05","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156378375.jpg","HUP Rebuilding","Tiong Bahru Market","I","","10/2/2006","27892.07","Seng Poh Road","168898","","30, Seng Poh Road, Singapore 168898","0FAB58D04F39DCE2","20210330151704"
"18","127",1.33809268551386,"11/3/1969","Existing","",103.84473162196,"","","35585.01","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154499803.jpg","HUP Reconfiguration","Toa Payoh West Market and Food Court","I","","11/12/2003","29270.15","Lorong 1 Toa Payoh","310127","","Blk 127, Lorong 1 Toa Payoh, Singapore 310127","ED2DB7B7F7FA9EDB","20210330151704"
"19","74",1.33454816495637,"9/9/1968","Existing","",103.851999137527,"","","35193.08","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226848493.jpg","HUP Reconfiguration","Toa Payoh Vista Market","I","","1/11/2004","30078.95","Lorong 4 Toa Payoh","310074","","Blk 74, Lorong 4 Toa Payoh, Singapore 310074","0F387A4AD9309826","20210330151704"
"20","93",1.3384747524617,"19/7/1967","Existing","",103.849513484035,"","","35627.26","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154305312.jpg","HUP Standard Upgrading","Toa Payoh Lorong 4 Blk 93","I","","20/7/2009","29802.32","Lorong 4 Toa Payoh","310093","","Blk 93, Lorong 4 Toa Payoh, Singapore 310093","8ED7D81782E22725","20210330151704"
"21","75",1.33603882157063,"5/2/1968","Existing","",103.852941556275,"","","35357.91","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878144152.jpg","HUP Standard Upgrading","Toa Payoh Lorong 5 Blk 75","I","","21/11/2012","30183.83","Lorong 5 Toa Payoh","310075","","Blk 75, Lorong 5 Toa Payoh, Singapore 310075","83FB95F62E5F0D57","20210330151704"
"22","22",1.33523145909678,"2/3/1970","Existing","",103.857036007166,"","","35268.64","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168256123.jpg","HUP Reconfiguration","Kim Keat Palm Market and Food Centre","I","","16/7/2004","30639.5","Lorong 7 Toa Payoh","310022","","Blk 22, Lorong 7 Toa Payoh, Singapore 310022","E43A2111F5B01E10","20210330151704"
"23","210",1.3402608349586,"27/8/1974","Existing","",103.854395279214,"","","35824.76","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876959422.jpg","HUP Standard Upgrading","Toa Payoh Lorong 8 Blk 210","I","","30/9/2011","30345.61","Lorong 8 Toa Payoh","310210","","Blk 210, Lorong 8 Toa Payoh, Singapore 310210","AD6CE850AB875900","20210330151704"
"24","17",1.31502804429519,"28/2/1974","Existing","",103.871620273635,"","","33034.67","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226056435.jpg","HUP Standard Upgrading","Blk 17 Upper Boon Keng Market and Food Centre","I","","13/1/2009","32262.61","Upper Boon Keng Road","380017","","Blk 17, Upper Boon Keng Road, Singapore 380017","5A26A7AC10A29773","20210330151704"
"25","531A",1.28524640047048,"28/1/1978","Existing","",103.845818885585,"","","29741.54","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878882405.jpg","HUP Reconfiguration","Hong Lim Food Centre and Market","","","9/3/2011","29391.18","Upper Cross Street","51531","","Blk 531A, Upper Cross Street, Singapore 051531","A6069393A97212DA","20210330151704"
"26","502",1.31188972115897,"19/1/1995","Existing","",103.759166093858,"","","32687.74","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168297394.jpg","Not eligible for HUP","Ayer Rajah Market","I","","","19747.53","West Coast Drive","120502","","Blk 502, West Coast Drive, Singapore 120502","2DBB0A9F6454B21E","20210330151704"
"27","503",1.31180301004196,"26/3/1979","Existing","",103.759751321019,"","","32678.15","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168322420.jpg","HUP Standard Upgrading","Ayer Rajah Food Centre","I","","15/12/2002","19812.66","West Coast Drive","120503","","Blk 503, West Coast Drive, Singapore 120503","7A279834C9D8C00D","20210330151704"
"28","90",1.32294306204189,"26/8/1976","Existing","",103.855137696535,"","","33909.85","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154207158.jpg","HUP Standard Upgrading","Whampoa Drive Makan Place/Whampoa Food Centre","I","","25/10/2007","30428.25","Whampoa Drive","320090","","Blk 90, Whampoa Drive, Singapore 320090","16F08FA0DF20828F","20210330151704"
"29","91/92",1.32342175143826,"3/1/1973","Existing","",103.85406806286,"","","33962.78","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154257763.jpg","HUP Standard Upgrading","Whampoa Drive Makan Place/Whampoa Market","I","","25/10/2007","30309.21","Whampoa Drive","320091","","Blk 91/92, Whampoa Drive, Singapore 320091/320092","38A4F531009B6C26","20210330151704"
"30","51",1.42501763803265,"3/7/2017","Existing (new)","3364",103.844747581861,"","23/10/2015","45196.73","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/yishun-hawker-centre.jpg","New Centre","Yishun Park Hawker Centre","","Yishun Park Hawker Centre","","29271.88","Yishun Avenue 11","768867","25/11/2015","Blk 51, Yishun Avenue 11, Singapore 768867","2676B659B081726B","20210330151704"
"31","104/105",1.43144768831222,"31/3/1984","Existing","",103.828537609942,"","","45907.73","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267438077554.jpg","HUP Standard Upgrading","Chong Pang Market and Food Centre","I","","4/8/2003","27467.95","Yishun Ring Road","760104","","Blk 104/105, Yishun Ring Road, Singapore 760104/760105","A75CB1D53B86E438","20210330151704"
"32","70",1.29234216757957,"1976","Existing","1421.31",103.831189303546,"","","30526.15","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267879560483.jpg","HUP Standard Upgrading","Zion Riverside Food Centre","I","","5/3/2003","27763.03","Zion Road","247792","","70, Zion Road, Singapore 247792","41709ABECAA2B3FE","20210330151704"
"33","630",1.33315924777343,"30/6/1982","Existing","",103.91405388831,"","","35039.64","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155176127.jpg","HUP Rebuilding","Bedok Reservoir Road Blk 630","I","","28/2/2006","36985","Bedok Reservoir Road","470630","","Blk 630, Bedok Reservoir Road, Singapore 470630","BBA7FF2B2C2C130F","20210330151704"
"34","16",1.32055216480957,"12/5/1975","Existing","",103.93553909635,"","","33645.7","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853021378.jpg","HUP Standard Upgrading","Bedok South Road Blk 16","I","","20/9/2012","39376.14","Bedok South Road","460016","","Blk 16, Bedok South Road, Singapore 460016","483F3877120EF5AA","20210330151704"
"35","29",1.31921699786807,"17/3/1971","Existing","",103.863021377531,"","","33497.85","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226446535.jpg","HUP Standard Upgrading","Bendemeer Market and Food Centre","I","","31/12/2004","31305.63","Bendemeer Road","330029","","Blk 29, Bendemeer Road, Singapore 330029","A7DB5A3E665DE46E","20210330151704"
"36","38A",1.28882210205212,"1965","Existing","1733.074",103.827358017197,"","","30136.920000000002","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267807628554.jpg","HUP Standard Upgrading","Beo Crescent Market","I","","18/1/2010","27336.64","Beo Crescent","169982","","38A, Beo Crescent, Singapore 169982","D232402B6D84FBBE","20210330151704"
"37","166",1.30733651651517,"1975","Existing","2568.95",103.856853966617,"","","32184.16","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176120532.jpg","HUP Standard Upgrading","Berseh Food Centre","I","","5/3/2004","30619.27","Jalan Besar","208877","","166, Jalan Besar, Singapore 208877","A7CCEB2CA6AC0B4B","20210330151704"
"38","221A/B",1.3452231627967,"2/1/1976","Existing","",103.712799765872,"","","36373.79","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154766447.jpg","HUP Reconfiguration","Boon Lay Place Market and Food Village","I","","1/8/2004","14587.57","Boon Lay Place","641221","","Blk 221A/B, Boon Lay Place, Singapore 641221/642221","84F8C2B46575585C","20210330151704"
"39","665",1.30620584090733,"31/10/1980","Existing","",103.850530969624,"","","32059.13","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156313186.jpg","HUP Standard Upgrading","Tekka Centre/Zhu Jiao Market","I","","30/6/2009","29915.58","Buffalo Road","210665","","Blk 665, Buffalo Road, Singapore 210665","D09ADF3409AC0894","20210330151704"
"40","163",1.28369258928085,"5/5/1980","Existing","",103.816992390295,"","","29569.73","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851995788.jpg","Opted out of HUP","Bukit Merah Central Food Centre","I","","","26183.03","Bukit Merah Central","150163","","Blk 163, Bukit Merah Central, Singapore 150163","16F0047A45BF34F9","20210330151704"
"41","120",1.28629777221659,"14/9/1978","Existing","",103.804489277779,"","","29857.81","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267852344747.jpg","HUP Standard Upgrading","Alexandra Village Food Centre","I","","15/11/2010","24791.54","Bukit Merah Lane 1","150120","","Blk 120, Bukit Merah Lane, Singapore 150120","98A3C26D48032FF5","20210330151704"
"42","115",1.28550478314618,"29/3/1973","Existing","",103.822049361292,"","","29770.11","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851251303.jpg","HUP Standard Upgrading","Blk 115 Bukit Merah View Market and Food Centre","I","","28/2/2012","26745.83","Bukit Merah View","151115","","Blk 115, Bukit Merah View, Singapore 151115","7A2BDBF505C0CC30","20210330151704"
"43","2",1.37760053528611,"31/7/2015","Existing (new)","4500",103.772489583206,"","","39953.67","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bukit-panjang-hawker-centre.jpg","New Centre","Bukit Panjang Hawker Centre","","","","21230.49","Bukit Panjang Ring Road","679947","","2 Bukit Panjang Ring Road, Singapore 679947","2FEB0DCC8CCF59D4","20210330151704"
"44","5",1.28159564281228,"24/5/2017","Existing","1817.18",103.848973726501,"","","29337.86","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262225979894.jpg","Interim Centre","Market Street Interim Hawker Centre","","Market Street Interim Hawker Centre","","29742.29","Cross Street","48418","","5, Cross Street, Singapore 048148","2120FA820A4A9786","20210330151704"
"45","20/21",1.44388181695611,"15/9/1975","Existing","",103.777203165702,"","","47282.71","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152527264.jpg","HUP Standard Upgrading","Marsiling Lane Blk 20/21","I","","2/3/2009","21755.23","Marsiling Lane","730020","","Blk 20/21, Marsiling Lane, Singapore 730020/730021","F48BB5AA1CD92E13","20210330151704"
"46","4",1.43353885680037,"8/11/2017","Existing (new)","3661",103.779784899996,"hawker centre/supermarket/shops","4/9/2015","46139.03","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/mmhc.jpg","New Replacement Centre","Marsiling Mall Hawker Centre","","Marsiling Mall","","22042.510000000002","Woodlands Street 12","738623","1/1/2016","Blk 4,Woodlands St 12,Singapore 738623","67D9A36B9A97AE82","20210330151704"
"47","1",1.28011223513205,"1935","Existing","3365.392",103.844827863123,"","","29173.83","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155734465.jpg","Upgraded prior to HUP","Kim Hua Market","I","","","29280.89","Kadayanallur Street","69184","","1, Kadayanallur Street, Singapore 069184","FE75522D464BE5EA","20210330151704"
"48","159",1.29323622090658,"12/10/1970","Existing","",103.802903901116,"","","30625.03","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154581891.jpg","HUP Reconfiguration","Mei Chin Road Market","I","","8/5/2009","24615.11","Mei Chin Road","140159","","Blk 159, Mei Chin Road, Singapore 140159","58C10BCC7F14A9E6","20210330151704"
"49","32",1.28499102169498,"1965","Existing","",103.842578750107,"","","29713.3","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168123284.jpg","HUP Standard Upgrading","People's Park Food Centre","I","","27/12/2005","29030.58","New Market Road","50032","","Blk 32, New Market Road, Singapore 050032","431889D30CA6E5AD","20210330151704"
"50","208B",1.32473884451035,"15/11/2014","Existing","",103.93056047823,"","","34108.62","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bedok-interchange-hawker-centre.jpg","New Replacement Centre","New Upper Changi Road Blk 208B","I","","","38822.05","New Upper Changi Road","462208","","Blk 208B, New Upper Changi Road, Singapore 462208","03BAD66511FD945D","20210330151704"
"51","58",1.32418782817919,"27/2/1978","Existing","",103.941132372619,"","","34047.74","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153263293.jpg","HUP Standard Upgrading","New Upper Changi Road Blk 58","I","","16/9/2008","39998.6","New Upper Changi Road","461058","","Blk 58, New Upper Changi Road, Singapore 461058","57B99402997CB2CA","20210330151704"
"52","500",1.31189235691653,"1971","Existing","3252.75",103.839562687644,"","","32687.91","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155777485.jpg","HUP Standard Upgrading","Newton Food Centre","I","","12/6/2006","28694.91","Clemenceau Ave North","229495","","500, Clemenceau Ave North, Singapore 229495","A3E978497212B9F7","20210330151704"
"53","861",1.30576537802761,"1973","Existing","3004.63",103.863891012338,"","","32010.440000000002","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155297184.jpg","HUP Reconfiguration","North Bridge Road Market","I","","17/10/2005","31402.43","North Bridge Road","198783","","861, North Bridge Road, Singapore 198783","3B33AC4CEF5F6B1C","20210330151704"
"54","51",1.30825156309798,"17/2/1973","Existing","",103.885833217727,"","","32285.39","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153198645.jpg","HUP Standard Upgrading","51 Old Airport Road Food Centre and Shopping Mall","I","","12/6/2007","33844.39","Old Airport Road","390051","","Blk 51, Old Airport Road, Singapore 390051","49DC3EB4330D8E97","20210330151704"
"55","1",1.35386211773287,"6/8/2016","Existing (new)","2241",103.939726160039,"hawker centre/ community club  offices/regional library/heritage centre/swimming complex/sports facilities/branch hawker centre/office/national arts council/hometeam ns clubhouse/family medical centre/senior care centre","7/5/2014","37328.97","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/our-tampines-hub.jpg","New Centre","Our Tampines Hub","","Our Tampines Hub","","39841.96","Tampines Walk","528523","1/8/2013","1 Tampines Walk, Singapore 528523","17E2D59BE03D01F0","20210330151704"
"56","121",1.27590752450201,"1978","Existing","1115.71",103.791402660553,"","","28708.93","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155813373.jpg","HUP Standard Upgrading","Pasir Panjang Food Centre","I","","20/5/2002","23335.09","Pasir Panjang Road","118543","","121, Pasir Panjang Road, Singapore 118543","311FCFFE66B6917D","20210330151704"
