"","NAME","Latitude","Longitude","Opening Hours","Street","Description1","Description2","URL Path","Website","Image Link","Image Text","Image By","Last Modified","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR"
"36","Sultan Mosque (Masjid Sultan) Singapore","1.302379","103.859171","Monday to Sunday:9.30am – 12pm and 2pm – 4pm ,Friday:2.30pm – 4pm","3 Muscat Street","Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singapore’s Muslim community.","The impressive Sultan Mosque (also known as Masjid Sultan) in historic Kampong Glam is the focal point for Singapore’s Muslim community.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/places-of-worship/sultan-mosque","http://www.sultanmosque.org.sg","","","","2015-11-02T10:27:45.190+08:00","8EAD53A17A6233BF","1/9/2017 2:59:32 PM","30877.1398","31635.9857"
"37","Sri Mariamman Temple","1.28243","103.84538","Daily from 7am – 12pm, and 6pm – 9pm","244 South Bridge Road","Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore.","Sri Mariamman Temple, located in Chinatown, is the oldest Hindu temple in Singapore.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/places-of-worship/sri-mariamman-temple","http://heb.gov.sg/our-subsidiaries/temples/sri-mariamman-temple.aspx","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/sri-mariamman-temple-carousel02-rect.jpg","Sri Mariamman Temple's ornate and elaborate detailing makes it a wonder to behold.","Joel Chua DY","2015-11-02T10:31:58.848+08:00","87AEBE8461E729AF","1/9/2017 2:59:32 PM","29342.3372","29430.1166"
"38","Armenian Church","1.29293","103.84966","Daily, 9am –6pm","60 Hill Street","The oldest Christian church in Singapore is an architectural masterpiece from the early 19th century.","The Armenian Church is the oldest Christian church in Singapore and an architectural masterpiece from the early 19th century.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/places-of-worship/armenian-church","http://www.armeniansinasia.org/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/armenian-church-carousel01-rect.jpg","The Armenian Church in Singapore is a 19th-century architectural masterpiece.","Joel Chua DY","2015-11-02T10:34:55.710+08:00","104B770A1395B723","1/9/2017 2:59:32 PM","29818.6585","30591.1552"
"39","CHIJMES Singapore","1.29526","103.85168","Daily, 24 hours,Opening hours of businesses in CHIJMES may vary.","30 Victoria Street","Whether functioning as a school or a lifestyle and entertainment complex, it appears the beauty of CHIJMES is only equalled by its versatility.","Who would have thought a former school would make such a graceful transition? As a lifestyle and entertainment complex, CHIJMES soars high above the rest.","https://www.visitsingapore.com/see-do-singapore/architecture/historical/chijmes","http://chijmes.com.sg/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/chijmes-carousel01-rect.jpg","The charm of CHIJMES, Singapore harks back to a bygone, gracious age.","","2015-11-02T10:13:35.220+08:00","2BACAF4FA15C1059","1/9/2017 2:59:32 PM","30043.4653","30848.796"
"40","St Andrew’s Cathedral","1.29249","103.85231","Monday to Saturday, 9am – 5pm","11 St Andrew's Road","Singapore's largest cathedral is a stellar example of colonial-era architecture and heritage.","St Andrew's Cathedral is Singapore's largest cathedral and a stellar example of colonial-era architecture and heritage.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/places-of-worship/st-andrews-cathedral","http://www.livingstreams.org.sg/sac/visitors.html","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/st-andrews-cathedral-temple-carousel01-rect-norender.jpg","Singapore's largest cathedral is worth a visit for its architectural beauty.","Saint Andrew's Cathedral","2015-11-02T10:22:49.830+08:00","E18BD72F36CBCE11","1/9/2017 2:59:32 PM","30113.581","30542.5043"
"41","ArtScience Museum Singapore","1.28624","103.85929","Daily, 10am – 7pm, Last admission at 6pm","6 Bayfront Ave","Catch world-class touring exhibitions at this premier exhibition space.","Catch world-class touring exhibitions at the ArtScience Museum at Marina Bay Sands.","https://www.visitsingapore.com/see-do-singapore/arts/museums-galleries/artscience-museum","http://www.marinabaysands.com/museum.html","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/art-science-musuem-carousel01-rect.jpg","The ArtScience Museum in Singapore hosts a variety of international touring exhibitions.","Vincent Chong","2015-11-02T18:21:50.005+08:00","A37D6925DE629AB0","1/9/2017 2:59:32 PM","30890.4018","29851.4184"
"42","Old Ford Factory Singapore Museum","1.35232","103.76883","Monday to Saturday, 9am – 5.30pm,Sunday, 12pm – 5.30pm","351 Upper Bukit Timah Road","The Old Ford Factory holds an archive of memories about Singapore's wartime occupation by the Japanese.","The Old Ford Factory is a repository of memories about the hardships endured during the Japanese Occupation of Singapore.","https://www.visitsingapore.com/see-do-singapore/history/history-museums/memories-at-ford-factory","http://www.nas.gov.sg/moff/Home.aspx","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/memories-at-ford-factory-carousel01-rect.jpg","The site of the first Ford plant in Southeast Asia, the Old Ford Factory in Singapore is a journey to the past.","Joel Chua DY","2015-10-26T14:21:11.852+08:00","E7C292E56A127988","1/9/2017 2:59:32 PM","20823.1487","37158.2861"
"43","Singapore Coins and Notes Museum & Museum Singapore","1.28343","103.84452","Daily, 10am – 8pm","40 Pagoda Street, Level 1","The rare collection of currencies on display here tells Singapore’s story through the money it has used over the years.","The Singapore Coins and Notes Museum tells the story of Singapore through the currencies it has used over the years.","https://www.visitsingapore.com/see-do-singapore/history/history-museums/singapore-coins-notes-museum","http://www.singaporecoinsandnotesmuseum.com/index1.php","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-coins-and-notes-museum-carousel01-rect.jpg","Explore the city of Singapore through its coins and notes over the years at the Singapore Coins and Notes Museum.","Joel Chua DY","2015-10-26T14:00:10.268+08:00","D91B6BB291D5749B","1/9/2017 2:59:32 PM","29246.6256","29540.691"
"44","Singapore City Gallery","1.27987","103.84513","Monday to Saturday, 9am – 5pm","45 Maxwell Road, The URA Centre","The Singapore City Gallery tells the story of the city’s physical transformation.","The Singapore City Gallery tells the story of the city’s physical transformation.","https://www.visitsingapore.com/see-do-singapore/history/history-museums/singapore-city-gallery","http://www.ura.gov.sg/uol/citygallery.aspx","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-city-gallery-carousel02-rect.jpg","","","2015-10-26T14:11:48.280+08:00","D18E69A854F5D433","1/9/2017 2:59:32 PM","29314.5154","29147.0449"
"45","Changi Museum Singapore","1.36218","103.97403","Daily, 9:30am – 5pm,(Last admission: 4.30pm)","1000 Upper Changi Road North","Changi Museum provides an emotional exploration of Singapore’s wartime history during the Japanese Occupation.","Changi Museum provides an emotional exploration of Singapore’s wartime history during the Japanese Occupation.","https://www.visitsingapore.com/see-do-singapore/history/history-museums/changi-museum","http://www.changimuseum.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/changi-museum-carousel01-rect.jpg","Explore our wartime past by learning about the Fall of Singapore and the infamous Changi Prison.","Joel Chua DY","2015-10-26T14:03:31.564+08:00","6620F5130495399B","1/9/2017 2:59:32 PM","43659.5426","38248.9163"
"46","MINT Museum of Toys Singapore & Toy Museum","1.29631","103.85439","Daily, 9.30am – 6.30pm","26 Seah Street","This toy museum will delight both adults and kids with the vast collection of vintage toys and memorabilia from around the world.","Singapore's MINT Museum of Toys' vast collection of vintage toys will delight both kids and adults.","https://www.visitsingapore.com/see-do-singapore/history/history-museums/mint-musuem-of-toys","http://www.emint.com","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/mint-museum-of-toys-carousel02-rect.jpg","More than 50,000 vintage toys from as many as 40 countries are on display at this Singapore toy museum.","","2015-10-26T14:08:00.518+08:00","F0E7EFFBBA4995AA","1/9/2017 2:59:32 PM","30345.0636","30964.9021"
"47","Chinese Heritage Centre","1.34379","103.68398","Monday to Friday, 9.30am – 5pm,Saturday and Sunday, 10am –5pm, Closed on public holidays","12 Nanyang Drive","The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.","The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/heritage-discovery/chinese-heritage-centre","http://chc.ntu.edu.sg/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/chinese-heritage-centre-carousel02-rect.jpg","Explore questions on ethnic identity such as what it means to be a Chinese.","Chinese Heritage Centre, NTU","2015-11-02T09:59:33.922+08:00","C68A99A82B561DDA","1/9/2017 2:59:32 PM","11380.228","36215.4949"
"48","Kampong Glam & Malay Culture","1.30238","103.8595","","3 Muscat Street","Discover Kampong Glam's rich history, living traditions, excellent eateries and trendy shops in this vibrant neighbourhood.","Discover the heart of Singapore’s Malay community, living traditions, excellent eateries and trendy shops in vibrant Kampong Glam.","https://www.visitsingapore.com/see-do-singapore/places-to-see/kampong-glam","http://www.kampongglam.org.sg/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/kampong-glam-carousel01-rect-norender.jpg","Delve into Malay culture at the heart of its community, Kampong Glam Singapore.","","2015-10-22T12:28:04.683+08:00","CB22177613508D3F","1/9/2017 2:59:32 PM","30913.7547","31636.0967"
"49","Contemporary Arts Center","1.275","103.8045","Tuesday to Sunday, 12pm – 7pm Friday, 12pm – 9pm , Closed on Monday. Open on public holiday.","43 Malan Road","This university arts research centre explores contemporary art through exhibitions, public programmes, residencies and research programmes.","The Contemporary Arts Center at the Nanyang Technological University uses a variety of medium to explore contemporary art.","https://www.visitsingapore.com/see-do-singapore/arts/performance-arts/centre-for-contemporary-art","http://www.ntu.ccasingapore.org/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/afiq_omar_rect.jpg","The Contemporary Arts Center hosts exhibitions, live performances, film screenings and talks by visiting artists and curators.","Courtesy of NTU CCA Singapore","2015-10-20T12:34:59.810+08:00","6A6F2B61ACBE12CB","1/9/2017 2:59:32 PM","24792.7192","28608.5605"
"50","The Substation","1.2944","103.84934","The Substation Box Office ,Monday to Friday, 12pm - 2pm and 5pm - 8pm.Saturday and Sunday, open an hour prior to weekend showtimes. Closed on public holidays.The Substation Gallery Daily, 12pm – 9pm Closed on public holidays","45 Armenian Street","This experimental arts centre gives a space for contemporary artists to try out new concepts.","The Substation is an experimental arts centre that gives a space for contemporary artists to try out new concepts.","https://www.visitsingapore.com/see-do-singapore/arts/performance-arts/the-substation","http://www.substation.org","","","","2015-10-20T12:32:55.819+08:00","DC83F6C5F5008A06","1/9/2017 2:59:32 PM","29783.0444","30753.6999"
"51","Red Dot Design Museum","1.27828","103.84572","Monday - Friday, 11am – 6 pm, Saturday and Sunday, 11am – 8 pm","28 Maxwell Road, Red Dot Traffic","This museum holds more than 1,000 award-winning products, communications and concepts that will delight design fans.","The Red Dot Design Museum holds more than 1,000 products and items that are winners for their good design.","https://www.visitsingapore.com/see-do-singapore/arts/museums-galleries/red-dot-design-museum","http://museum.red-dot.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/red-dot-design-museum-carousel01-rect.jpg","Award-winning exhibits at the Red Dot Design Museum in Singapore are sure to delight design fans.","Red Dot Museum","2015-10-20T12:16:22.647+08:00","ACB1EE06342F2F04","1/9/2017 2:59:32 PM","29380.1786","28971.2313"
"52","Singapore Art Museum","1.297424","103.851068","Monday to Thursday, 10am – 7pm, Friday, 10am – 9pm","71 Bras Basah Road","Singapore Art Museum is Singapore’s contemporary art museum, focused on Southeast Asian contemporary art.","The Singapore Art Museum houses the world’s largest public collection of contemporary Southeast Asian artworks.","https://www.visitsingapore.com/see-do-singapore/arts/museums-galleries/singapore-art-museum","http://www.singaporeartmuseum.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/singapore-art-museum-carousel01-rect-norender.jpg","Get to know the works of contemporary artists around Southeast Asia at the Singapore Art Museum.","","2015-10-20T11:37:44.504+08:00","66C705DDEDD2F321","1/9/2017 2:59:32 PM","29975.3532","31088.0796"
"53","Esplanade Theatres on the Bay","1.2898","103.85528","Box Office","1 Esplanade Drive","Catch a non-stop line-up of world-class performances at Singapore’s premier arts centre.","Esplanade Theatres on the Bay is the country’s premier arts centre as well as an iconic landmark on the city’s skyline.","https://www.visitsingapore.com/see-do-singapore/arts/performance-arts/esplanade-theatres-on-the-bay","http://www.esplanade.com/index.jsp","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/the-esplanade-carousel01-rect.jpg","Get your dose of creativity at Esplanade Theatres on the Bay, Singapore's premier arts centre.","Mori Hidetaka, Courtesy of Esplanade – Theatres on the Bay","2015-10-20T12:21:35.825+08:00","Daily, 12pm – 8.30pm, The Esplanade Box Office will open 1 hour prior to show commencement for shows before 12 noon and will remain open up to half an hour after show commencement for shows starting after 8.30pm.","1EDDE532D78631EC","1/9/2017 2:59:32 PM","30444.1189"
"54","National Design Centre","1.29882","103.85351","Daily, 9.00am – 9.00pm","111 Middle Road","The National Design Centre is the nexus for all things design. It hosts design exhibitions, events and programmes that will quicken the pulse of design lovers.","The National Design Centre is a design lover’s dream destination.","https://www.visitsingapore.com/see-do-singapore/arts/museums-galleries/national-design-centre","http://www.designsingapore.org/ndc/About_NDC.aspx","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/national-design-centre-carousel01-rect.jpg","Explore the wonderful world of design at the National Design Centre, Singapore.","National Design Centre","2015-10-20T11:24:02.450+08:00","16BBEDDA2FDE3766","1/9/2017 2:59:32 PM","30247.125","31242.4441"
"55","Victoria Theatre Singapore","1.28837","103.851641","Daily, 10am – 9pm","11 Empress Place","After a four-year refurbishment, the Victoria Theatre and Concert Hall has since reopened, with its first official concert held there in August 2014.","The historic Victoria Theatre and Concert Hall has been transformed to meet the needs of a modern audience.","https://www.visitsingapore.com/see-do-singapore/arts/performance-arts/victoria-theatre-concert-hall","https://www.nac.gov.sg/arts-spaces/nac-arts-venues","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/victoria-theatre-concert-hall-caurousel01-rect.jpg","Catch world-class performances at stunning venues, like The Victoria Theatre and Concert Hall.","","2015-10-22T09:40:49.148+08:00","46678220B68EA084","1/9/2017 2:59:32 PM","30039.1304","30086.9353"
"56","NUS University Museum","1.301775","103.772686","Tuesday to Friday, 10am – 7.30pm,Saturday and Sunday, 10am – 6pm","50 Kent Ridge Crescent, National University of Singapore","Get a deeper insight into Asian art and artefacts at this museum on the campus of the National University of Singapore.","Get a deeper insight into Asian art and artefacts at NUS Museum at Singapore’s leading university.","https://www.visitsingapore.com/see-do-singapore/arts/museums-galleries/nus-museum","http://www.nus.edu.sg/cfa/museum/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/nus-museum-carousel01-rect.jpg","The NUS Museum in Singapore houses more than 8,000 exhibits that take you back to the past.","","2015-10-20T11:32:34.809+08:00","2F015A9E349662CD","1/9/2017 2:59:32 PM","21252.1858","31569.254"
"57","Sun Yat Sen Memorial Hall","1.32795","103.84692","Tuesday to Sunday, 10am – 5pm, Closed on Monday","12 Tai Gin Road","This revamped museum is a fitting tribute to the intriguing life and times of Chinese revolutionary leader Dr Sun Yat Sen.","The Sun Yat Sen Memorial Hall is a fitting tribute to the intriguing life and times of Chinese revolutionary leader Dr Sun Yat Sen.","https://www.visitsingapore.com/see-do-singapore/history/memorials/sun-yat-sen-memorial-hall","http://www.sysnmh.org.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/sun-yat-sen-memorial-hall-carousel01-rect.jpg","The Sun Yat Sen Memorial Hall pays tribute to the revolutionary leader.","Choo Yut Shing","2015-10-26T14:46:02.086+08:00","6AFBBDBC1816DD44","1/9/2017 2:59:32 PM","29513.6993","34463.4849"
"58","Asian Civilisations Museum & Singapore Museum","1.287384","103.851723","Saturday to Thursday, 10am – 7pm, Friday, 10am – 9pm","1 Empress Place","Housed in a historical building by the Singapore River, this museum tells the stories of Asian civilisations through its permanent collections.","Housed in a historical building by the Singapore River, this museum is a microcosm of Asian civilisations spread over 11 galleries.","https://www.visitsingapore.com/see-do-singapore/history/history-museums/asian-civilizations-museum","http://acm.org.sg/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/asian-civilizations-museum-carousel01-rect.jpg","The Asian Civilizations Museum, Singapore is a historic building that tells the story of Asian civilisation.","National Heritage Board","2015-10-26T14:28:34.961+08:00","F578549D97C6E722","1/9/2017 2:59:32 PM","30048.2571","29977.9087"
"59","Singapore Botanic Gardens","1.31384","103.815914","Singapore Botanic Gardens Daily, 5am - 12am National Orchid Garden Daily, 8.30am - 7pm(last ticket sales at 6pm)Jacob Ballas Children's Garden Tuesday to Sunday, 8am - 7pm(last admission: 6.30pm)Closed every Monday (except when it falls on a designated public holiday)SBG Heritage MuseumDaily*, 9am - 6pm*Closed every last Monday of the month (except when it falls on a designated public holiday, it will be closed the following day)","1 Cluny Road","Singapore’s oldest garden is a treasure trove for plant lovers, or those who simply want to have a good time outdoors.","Singapore’s Botanic Gardens is a treasure trove for plant lovers, or those who simply want to have a good time outdoors.","https://www.visitsingapore.com/see-do-singapore/nature-wildlife/parks-gardens/singapore-botanic-gardens","http://www.sbg.org.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/singapore-botanic-gardens-carousel01-rect.jpg","","","2015-10-02T15:27:52.272+08:00","6D2E9018B62DC124","1/9/2017 2:59:32 PM","26063.0369","32903.2763"
"60","Singapore Zoo","1.404348","103.793023","Daily, 8.30am – 6pm(last ticket sale at 5.30pm)","80 Mandai Lake Road","Singapore’s zoo is a beautiful, award-winning wildlife park, where animals can roam freely in their natural habitats.","Catch animals in their natural habitats at the award-winning Singapore Zoo.","https://www.visitsingapore.com/see-do-singapore/nature-wildlife/fun-with-animals/singapore-zoo","http://www.zoo.com.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/singapore-zoo-carousel04-rect.jpg","The award-winning Singapore Zoo lets you see your favourite animals in all their natural wonder.","Wildlife Reserves Singapore","2015-09-22T09:45:21.173+08:00","5372CE1F30B3B4BF","1/9/2017 2:59:32 PM","23515.6546","42911.2213"
"61","River Safari Singapore","1.403732","103.789423","Daily, 10am - 7pm","80 Mandai Lake Road","At the River Safari Singapore, meet manatees and monkeys, piranhas and pandas, as they congregate in and around the park’s waters.","The River Safari Singapore is a fascinating new wildlife park that recreates life in and around the world’s rivers.","https://www.visitsingapore.com/see-do-singapore/nature-wildlife/fun-with-animals/river-safari-singapore","http://www.riversafari.com.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/river-safari-singapore-carousel01-rect.jpg","Meet manatees, monkeys and more as you ride the world's rivers at River Safari, Singapore.","","2015-09-22T10:33:35.047+08:00","7A36215ED26BB17C","1/9/2017 2:59:32 PM","23115.0226","42843.1142"
"62","Cable Car Singapore & Mount Faber","1.271375","103.819206","","109 Mount Faber Road","Getting to this hilltop dining and entertainment spot at Mount Faber by cable car  is half the fun.","Getting to the hilltop dining and entertainment spot at Mount Faber by cable car is half the fun.","https://www.visitsingapore.com/see-do-singapore/nature-wildlife/parks-gardens/mount-faber","http://www.mountfaber.com.sg/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/mount-faber-carouse01-rect.jpg","Spend a unique evening overlooking spectacular views on a cable car in Singapore's Mount Faber.","","2015-10-02T15:13:15.155+08:00","1142A9F2DCFFF3BE","1/9/2017 2:59:32 PM","26429.3455","28207.6688"
"63","Night Safari","1.402187","103.788061","Daily, 7.30pm - 12am .Last ticket sale at 11.15pm.F and B and retail outlets open from 5.30pm","80 Mandai Lake Road","Instead of going to a club, pop into another popular nightspot, the Night Safari, and mingle with a different crowd of animals at this special zoo.","Head to the Night Safari for an after dark visit to the weird and wonderful creatures of the night.","https://www.visitsingapore.com/see-do-singapore/nature-wildlife/fun-with-animals/night-safari","http://www.nightsafari.com.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/night-safari-carousel01-rect.jpg","Enter a world of nocturnal creatures at the Night Safari, Singapore.","","2015-10-02T15:15:50.135+08:00","08756E67E54BAF91","1/9/2017 2:59:32 PM","22963.4473","42672.2788"
"64","Pulau Ubin & Singapore Islands","1.413741","103.959261","","Pulau Ubin","Gravel roads, lush forests and abundant wildlife – Pulau Ubin is a living showcase of what Singapore was like in the 1960s.","Hop on a bumboat to the island of Pulau Ubin if you want a taste of nature and rustic village life, away from the hustle and bustle of Singapore.","https://www.visitsingapore.com/see-do-singapore/nature-wildlife/singapore-islands/pulau-ubin","http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=29&Itemid=73","","","","2015-10-02T15:18:44.241+08:00","1F6EDE4F44A8937C","1/9/2017 2:59:32 PM","42015.5629","43950.182"
"65","Little India Singapore","1.30723","103.84982","","60 Bukit Timah Road","Little India is a buzzing historic area that shows off the best of Singapore’s Indian community from vibrant culture to incredible shopping.","Little India is a buzzing historic district that shows off the best of Singapore’s Indian community, from vibrant culture to ethnic-inspired shopping.","https://www.visitsingapore.com/see-do-singapore/places-to-see/little-india","http://www.littleindia.com.sg/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/little-india-carousel01-rect.jpg","Immerse yourself in the rich culture of Little India, Singapore.","","2015-10-12T15:10:33.979+08:00","DA42B5D8A31A6643","1/9/2017 2:59:32 PM","29836.4549","32172.3757"
"66","Orchard Road","1.30429","103.83249","","437 Orchard Road","Orchard Road, Asia’s most famous shopping street, is home to fashion favourites, specialist stores and loads of other lifestyle choices.","Don’t miss a trip to Orchard Road. Asia’s most famous shopping street is home to fashion favourites, specialist stores and loads of other lifestyle choices.","https://www.visitsingapore.com/see-do-singapore/places-to-see/orchard","http://www.orchardroad.org/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/orchard-carousel01-rect.jpg","Orchard Road, Singapore is nothing short of a shopper's paradise.","Goh Hak Liang","2015-10-14T14:29:19.486+08:00","4D2D3EC58531B990","1/9/2017 2:59:32 PM","27907.7867","31847.2796"
"67","MacRitchie Singapore & Singapore Nature Reserve","1.344843","103.822346","","MacRitchie Reservoir Park","The attractions around MacRitchie Reservoir is a playground of nature for those who love the outdoors.","The attractions around MacRitchie Reservoir caters to fitness fanatics, water sports enthusiasts and nature lovers.","https://www.visitsingapore.com/see-do-singapore/nature-wildlife/reserves/macritchie-nature-reserve","http://www.nparks.gov.sg/cms/macritchie.php?option=com_visitorsguide&task=naturereserves&id=49&Itemid=75","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/macritchie-nature-reserve-carousel01-rect.jpg","MacRitchie Reservoir is nature’s playground for those who love the great outdoors.","","2015-10-15T18:52:17.740+08:00","DDB5957EB3AA5260","1/9/2017 2:59:32 PM","26778.8722","36331.425"
"68","Civic District","1.29324","103.85222","","150 North Bridge Road","The Civic District is where Singapore’s historical, architectural and cultural heritage started.","The Civic District is where Singapore’s historical, architectural and cultural heritage starts.","https://www.visitsingapore.com/see-do-singapore/places-to-see/civic-district","","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/civic-district-carousel01-rect.jpg","Immerse yourself in a day of history and culture at the Civic District, Singapore.","","2015-10-13T14:04:28.278+08:00","6F2AF7883CCFE4D6","1/9/2017 2:59:32 PM","30103.5641","30625.4353"
"69","HarbourFront","1.26532","103.82057","","81 Telok Blangah Road","HarbourFront is the place to go if you're hopping on a cruise from Singapore, taking a regional ferry or simply want to eat, shop or relax.","HarbourFront is the place to go if you're hopping on a cruise from Singapore, taking a ferry to the outlying islands or simply want to eat, shop or relax.","https://www.visitsingapore.com/see-do-singapore/places-to-see/harbourfront","http://www.shba.org.sg/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/harbourfront-carousel01-rect.jpg","HarbourFront, Singapore is your exciting gateway to entertainment and Singapore's outlying islands.","St. James Holdings Ltd","2015-10-12T15:30:50.116+08:00","A36249B1D464358B","1/9/2017 2:59:32 PM","26581.1783","27538.1818"
